SERVICE,LATITUDE,LONGITUDE,STUCT_HT_T,PERCENT
MBS,43.7236,-79.4022,204,0.37
FCFS38,43.7237,-79.4023,198,0.36
FCFS38,43.7237,-79.4023,203,0.37
AWS,43.7238,-79.2997,3,0.01
CELL,43.7239,-79.2549,191,0.35
PCS,43.7239,-79.2549,193,0.35
AWS,43.7242,-79.5122,183,0.34
WBS,43.7242,-79.5108,222,0.41
PCS,43.7242,-79.4883,232,0.43
PCS,43.7245,-79.4864,176,0.32
AWS,43.7247,-79.4939,190,0.35
MBS,43.7247,-79.4303,203.1,0.37
MBS,43.7247,-79.275,199.2,0.37
BRS,43.7248,-79.2753,181,0.33
CELL,43.7248,-79.2753,183,0.34
MBS,43.7248,-79.2753,184,0.34
CELL,43.725,-79.4489,205,0.38
PCS,43.725,-79.4489,209,0.38
MBS,43.725,-79.4489,215.1,0.39
PCS,43.7253,-79.4528,187,0.34
AWS,43.7256,-79.4028,191,0.35
PCS,43.7256,-79.4025,183,0.34
CELL,43.7256,-79.4025,192,0.35
MBS,43.7256,-79.4025,194,0.36
BWA24,43.7256,-79.3486,127,0.23
BWA24,43.7256,-79.3411,117,0.21
AWS,43.7258,-79.4811,210,0.39
MBS,43.7258,-79.4589,225,0.41
BWA24,43.7258,-79.3489,144,0.26
MBS,43.7258,-79.3489,147.8,0.27
BWA24,43.7258,-79.3489,195,0.36
BWA24,43.7258,-79.2925,165,0.3
PCS,43.7261,-79.4543,191,0.35
MBS,43.7261,-79.3125,175.4,0.32
AWS,43.7261,-79.3036,177,0.32
BWA24,43.7261,-79.28,165,0.3
BWA24,43.7261,-79.2783,10,0.02
CELL,43.7262,-79.2318,201,0.37
PCS,43.7262,-79.2318,205,0.38
CELL,43.7264,-79.4862,224,0.41
BRS,43.7264,-79.4862,227,0.42
AWS,43.7265,-79.3128,148,0.27
BRS,43.7266,-79.4553,214,0.39
CELL,43.7266,-79.4553,215,0.39
PCS,43.7266,-79.4553,216,0.4
AWS,43.7266,-79.4553,223,0.41
AWS,43.7266,-79.3312,3,0.01
BRS,43.7266,-79.2877,193,0.35
CELL,43.7266,-79.2877,196,0.36
WBS,43.727,-79.3249,269,0.49
CELL,43.7272,-79.3318,164,0.3
MBS,43.7275,-79.3808,179,0.33
CELL,43.7275,-79.2975,163,0.3
MBS,43.7275,-79.2514,218.6,0.4
AWS,43.7275,-79.2511,232,0.43
CELL,43.7278,-79.2969,196,0.36
BRS,43.7278,-79.2969,198,0.36
PCS,43.7278,-79.2969,200,0.37
PCS,43.7278,-79.2969,212,0.39
AWS,43.7281,-79.4178,195,0.36
MBS,43.7281,-79.2969,311.7,0.57
AWS,43.7283,-79.3238,190,0.35
CELL,43.7283,-79.3238,192,0.35
CELL,43.7283,-79.3238,192,0.35
PCS,43.7283,-79.3238,193,0.35
AWS,43.7286,-79.3811,179,0.33
PCS,43.7286,-79.3286,139,0.26
PCS,43.729,-79.3388,135,0.25
AWS,43.7294,-79.4586,215,0.39
MBS,43.73,-79.3322,166,0.3
CELL,43.7301,-79.5098,203,0.37
BRS,43.7301,-79.5098,205,0.38
CELL,43.7301,-79.4191,180,0.33
CELL,43.7302,-79.3411,157,0.29
BRS,43.7302,-79.3411,159,0.29
FCFS38,43.7302,-79.3321,162,0.3
MBS,43.7303,-79.4833,197,0.36
MBS,43.7303,-79.4189,187.2,0.34
MBS,43.7303,-79.4036,178.5,0.33
AWS,43.7303,-79.3322,173,0.32
CELL,43.7304,-79.4333,220,0.4
BRS,43.7304,-79.4333,222,0.41
AWS,43.7308,-79.4397,234,0.43
PCS,43.7308,-79.355,168,0.31
BRS,43.7308,-79.355,170,0.31
CELL,43.7308,-79.355,172,0.32
MBS,43.7314,-79.5111,162.5,0.3
CELL,43.7317,-79.2781,191,0.35
PCS,43.7317,-79.2781,193,0.35
PCS,43.7317,-79.2781,194,0.36
FCFS38,43.7317,-79.2779,191,0.35
MBS,43.7317,-79.2778,185.3,0.34
AWS,43.7317,-79.2778,196,0.36
BWA24,43.7319,-79.4525,10,0.02
CELL,43.7322,-79.4603,206,0.38
MBS,43.7322,-79.4431,204.5,0.38
BRS,43.7325,-79.3683,166,0.3
AWS,43.7333,-79.4039,185,0.34
CELL,43.7334,-79.4039,188,0.34
AWS,43.7339,-79.3492,175,0.32
FCFS38,43.7339,-79.3489,168,0.31
AWS,43.7344,-79.3978,161,0.3
MBS,43.7344,-79.3803,158,0.29
MBS,43.7345,-79.3811,177,0.32
PCS,43.7345,-79.3811,178,0.33
CELL,43.7345,-79.3811,179,0.33
MBS,43.7345,-79.3811,180,0.33
BRS,43.7345,-79.3811,182,0.33
FCFS38,43.7345,-79.3806,175,0.32
FCFS38,43.7346,-79.4452,206,0.38
CELL,43.7347,-79.4452,210,0.39
MBS,43.7353,-79.4331,200,0.37
MBS,43.7353,-79.2686,191.9,0.35
AWS,43.7356,-79.2686,196,0.36
MBS,43.7358,-79.2561,226.5,0.42
MBS,43.736,-79.2852,190,0.35
CELL,43.736,-79.2852,192,0.35
BRS,43.736,-79.2852,194,0.36
PCS,43.736,-79.2852,196,0.36
AWS,43.7361,-79.2564,218,0.4
MBS,43.7364,-79.3442,166.9,0.31
MBS,43.7367,-79.4719,207,0.38
AWS,43.7367,-79.4356,215,0.39
CELL,43.7369,-79.2583,206,0.38
MBS,43.7369,-79.2583,208,0.38
BRS,43.7369,-79.2583,209,0.38
CELL,43.7372,-79.3431,178,0.33
PCS,43.7372,-79.3431,180,0.33
AWS,43.7375,-79.5114,190,0.35
AWS,43.7376,-79.4346,199,0.37
PCS,43.7386,-79.3558,182.5,0.33
CELL,43.7392,-79.4269,213,0.39
AWS,43.7392,-79.4269,216,0.4
BRS,43.7392,-79.4269,218,0.4
PCS,43.7392,-79.4269,219,0.4
PCS,43.7394,-79.4739,212,0.39
BWA24,43.7397,-79.4192,178,0.33
PCS,43.7397,-79.2394,199.8,0.37
MBS,43.7399,-79.2394,204,0.37
CELL,43.7399,-79.2394,206,0.38
PCS,43.7399,-79.2394,212,0.39
FCFS38,43.7403,-79.4227,225,0.41
MBS,43.7403,-79.4225,223.9,0.41
AWS,43.7403,-79.4225,229,0.42
BRS,43.7403,-79.3098,193,0.35
CELL,43.7403,-79.3098,196,0.36
AWS,43.7404,-79.4797,210,0.39
CELL,43.7404,-79.4797,212,0.39
PCS,43.7404,-79.4797,214,0.39
CELL,43.7404,-79.4226,230,0.42
PCS,43.7404,-79.4226,232,0.43
MBS,43.7406,-79.3283,161.1,0.3
AWS,43.7406,-79.31,197,0.36
CELL,43.7407,-79.4055,92,0.17
BRS,43.7407,-79.4055,94,0.17
BWA24,43.7408,-79.315,160,0.29
BRS,43.7409,-79.3278,162,0.3
CELL,43.7409,-79.3278,164,0.3
PCS,43.7409,-79.3278,165,0.3
PCS,43.7411,-79.4797,215,0.39
MBS,43.7411,-79.3106,200,0.37
AWS,43.7411,-79.2417,195,0.36
AWS,43.7414,-79.3292,166,0.3
MBS,43.7417,-79.4536,208.5,0.38
RAC,43.7417,-79.3731,202,0.37
CELL,43.7422,-79.3058,187,0.34
PCS,43.7422,-79.3058,189,0.35
PCS,43.7422,-79.3058,195,0.36
PCS,43.7433,-79.4719,207,0.38
MBS,43.7444,-79.4864,194.5,0.36
PCS,43.7444,-79.4044,160,0.29
AWS,43.7447,-79.49,198,0.36
AWS,43.7447,-79.4062,141,0.26
PCS,43.7448,-79.4063,166,0.3
BWA24,43.7453,-79.2861,177,0.32
CELL,43.7454,-79.2904,182,0.33
PCS,43.7454,-79.2904,184,0.34
BRS,43.7454,-79.2904,188,0.34
BRS,43.7454,-79.2904,188,0.34
CELL,43.7455,-79.4785,208,0.38
PCS,43.7457,-79.4067,145,0.27
MBS,43.7461,-79.4078,155.5,0.29
MBS,43.7467,-79.3464,148.6,0.27
FCFS38,43.7468,-79.4885,207,0.38
AWS,43.7469,-79.5131,214,0.39
AWS,43.7469,-79.4881,209,0.38
CELL,43.7469,-79.4881,210,0.39
PCS,43.7469,-79.4881,212,0.39
PCS,43.7469,-79.4881,218,0.4
AWS,43.7469,-79.3528,164,0.3
AWS,43.7469,-79.2856,219,0.4
MBS,43.7469,-79.285,205,0.38
FCFS38,43.7471,-79.3528,177,0.32
FCFS38,43.7471,-79.2852,203,0.37
FCFS38,43.7471,-79.2852,204,0.37
CELL,43.7476,-79.3541,174,0.32
BRS,43.7476,-79.3541,180,0.33
CELL,43.7477,-79.3841,172,0.32
RAC,43.7478,-79.4772,195,0.36
RAC,43.7478,-79.4772,208,0.38
MBS,43.7478,-79.3839,175,0.32
PCS,43.7481,-79.2739,214,0.39
PCS,43.7481,-79.2739,217,0.4
FCFS38,43.7486,-79.4372,207,0.38
BRS,43.7489,-79.2489,180,0.33
MBS,43.7494,-79.4375,202.7,0.37
BRS,43.7494,-79.3264,210,0.39
BRS,43.7497,-79.4997,168,0.31
AWS,43.7497,-79.2639,199,0.37
FCFS38,43.7507,-79.264,192,0.35
MBS,43.7511,-79.5114,216.2,0.4
BRS,43.7517,-79.3961,182,0.33
PCS,43.7521,-79.3557,18,0.03
AWS,43.7525,-79.4539,216,0.4
CELL,43.7525,-79.3154,207,0.38
MBS,43.7525,-79.315,222,0.41
AWS,43.7528,-79.4381,218,0.4
CELL,43.7528,-79.4103,196,0.36
PCS,43.7528,-79.4103,199,0.37
PCS,43.753,-79.2608,179,0.33
CELL,43.753,-79.2608,181,0.33
BRS,43.7531,-79.4836,212,0.39
CELL,43.7531,-79.4606,217,0.4
AWS,43.7531,-79.4606,219,0.4
BRS,43.7531,-79.4606,221,0.41
MBS,43.7531,-79.4606,223.4,0.41
PCS,43.7531,-79.4606,225,0.41
CELL,43.7535,-79.3612,191,0.35
PCS,43.7535,-79.3612,193,0.35
PCS,43.7535,-79.3612,198,0.36
MBS,43.7536,-79.3619,210,0.39
MBS,43.7536,-79.3618,195,0.36
CELL,43.7536,-79.3618,197,0.36
BRS,43.7536,-79.3618,199,0.37
MBS,43.7536,-79.3608,193.4,0.35
BWA24,43.7536,-79.2722,130,0.24
FCFS38,43.7537,-79.362,194,0.36
MBS,43.7539,-79.265,181.3,0.33
PCS,43.7542,-79.4375,215,0.39
BRS,43.7542,-79.4375,218,0.4
MBS,43.7542,-79.4078,201.5,0.37
PCS,43.7542,-79.3894,136,0.25
CELL,43.7542,-79.3339,168,0.31
PCS,43.7542,-79.3339,171,0.31
MBS,43.7544,-79.3333,226.3,0.42
AWS,43.7544,-79.3331,200,0.37
BWA24,43.7544,-79.2883,159,0.29
FCFS38,43.7545,-79.3333,238,0.44
BWA24,43.7547,-79.4847,10,0.02
AWS,43.7547,-79.3614,201,0.37
BWA24,43.7547,-79.3469,183,0.34
AWS,43.7549,-79.2899,194,0.36
CELL,43.7549,-79.2899,196,0.36
PCS,43.755,-79.2436,175,0.32
AWS,43.7553,-79.2439,178,0.33
CELL,43.7556,-79.3471,157,0.29
PCS,43.7556,-79.3471,159,0.29
PCS,43.7556,-79.3471,161,0.3
AWS,43.7556,-79.3471,162,0.3
MBS,43.7558,-79.2497,195.3,0.36
PCS,43.7558,-79.2469,185,0.34
CELL,43.7558,-79.2408,188,0.34
BRS,43.7558,-79.2408,190,0.35
PCS,43.7558,-79.2408,191,0.35
PCS,43.756,-79.2467,155,0.28
MBS,43.7561,-79.4739,209,0.38
AWS,43.7561,-79.41,205,0.38
CELL,43.7562,-79.2501,187,0.34
AWS,43.7564,-79.4894,221,0.41
CELL,43.7564,-79.2469,84,0.15
BWA24,43.7567,-79.2697,175,0.32
MBS,43.7569,-79.4908,217.4,0.4
PCS,43.7572,-79.3117,48,0.09
PCS,43.7574,-79.4752,93,0.17
BWA24,43.7581,-79.3597,127,0.23
MBS,43.7583,-79.4386,220,0.4
BWA24,43.7583,-79.3008,132,0.24
FCFS38,43.7586,-79.4388,212,0.39
PCS,43.7586,-79.4225,189.9,0.35
BWA24,43.7592,-79.41,243,0.45
PCS,43.7594,-79.41,265,0.49
MBS,43.7594,-79.3497,167,0.31
FCFS38,43.7599,-79.4645,211,0.39
MBS,43.76,-79.4644,210.2,0.39
AWS,43.76,-79.4644,211,0.39
PCS,43.7608,-79.4132,181,0.33
MBS,43.7608,-79.3883,188.5,0.35
MBS,43.7611,-79.5097,211.8,0.39
AWS,43.7611,-79.3914,201,0.37
PCS,43.7611,-79.3628,165,0.3
CELL,43.7611,-79.3628,167,0.31
BRS,43.7611,-79.3628,169,0.31
AWS,43.7612,-79.3918,30,0.06
PCS,43.7612,-79.3918,33,0.06
CELL,43.7612,-79.3918,40,0.07
CELL,43.7613,-79.5104,201,0.37
BRS,43.7613,-79.5104,203,0.37
CELL,43.7614,-79.4131,217,0.4
MBS,43.7614,-79.4128,214.5,0.39
PCS,43.7614,-79.3906,206,0.38
CELL,43.7614,-79.3906,211,0.39
BRS,43.7614,-79.3906,213,0.39
AWS,43.7614,-79.3631,165,0.3
AWS,43.7614,-79.3011,183,0.34
MBS,43.7614,-79.3011,194,0.36
CELL,43.7614,-79.3011,204,0.37
PCS,43.7614,-79.3011,206,0.38
BRS,43.7614,-79.3011,208,0.38
MBS,43.7614,-79.3011,209.6,0.38
PCS,43.7616,-79.466,193,0.35
PCS,43.7616,-79.4108,178,0.33
PCS,43.7616,-79.4108,263,0.48
AWS,43.7617,-79.4131,216,0.4
PCS,43.7617,-79.4081,173,0.32
BWA24,43.7619,-79.4817,204,0.37
BWA24,43.7622,-79.4844,207,0.38
CELL,43.7625,-79.4768,220,0.4
PCS,43.7625,-79.4768,222,0.41
MBS,43.7625,-79.4768,224,0.41
BRS,43.7625,-79.4768,226,0.41
AWS,43.7625,-79.3378,214,0.39
CELL,43.7627,-79.4081,204,0.37
BRS,43.7627,-79.2707,190,0.35
CELL,43.7627,-79.2707,192,0.35
MBS,43.7628,-79.3378,219.4,0.4
FCFS38,43.7629,-79.3379,227,0.42
PCS,43.763,-79.3176,231,0.42
AWS,43.763,-79.3176,235,0.43
CELL,43.763,-79.3176,237,0.43
MBS,43.7631,-79.3192,230.6,0.42
BRS,43.7633,-79.4031,185.9,0.34
PCS,43.7635,-79.4078,173,0.32
AWS,43.7639,-79.4978,228,0.42
PCS,43.7644,-79.4917,230.3,0.42
CELL,43.7644,-79.4917,232,0.43
BRS,43.7644,-79.4917,233,0.43
PCS,43.7644,-79.4917,238,0.44
BWA24,43.7644,-79.2944,177,0.32
CELL,43.7655,-79.4138,262,0.48
PCS,43.7655,-79.4138,265,0.49
AWS,43.7658,-79.5108,226,0.41
PCS,43.7658,-79.3756,206,0.38
AWS,43.7661,-79.4117,257,0.47
CELL,43.7669,-79.3649,174,0.32
PCS,43.7669,-79.3649,176,0.32
PCS,43.7675,-79.3689,92,0.17
MBS,43.7675,-79.2828,221,0.41
PCS,43.7676,-79.4127,171,0.31
MBS,43.7678,-79.4742,219,0.4
BWA24,43.7678,-79.4742,244,0.45
MBS,43.7678,-79.4119,217,0.4
CELL,43.7681,-79.4111,247,0.45
PCS,43.7681,-79.4111,249,0.46
AWS,43.7681,-79.2844,207,0.38
MBS,43.7683,-79.3825,243,0.45
AWS,43.7683,-79.3483,201,0.37
MBS,43.7683,-79.3456,228,0.42
AWS,43.7683,-79.2672,181,0.33
PCS,43.7685,-79.3863,179,0.33
CELL,43.7685,-79.3828,222,0.41
AWS,43.7686,-79.3828,223,0.41
PCS,43.7689,-79.3419,200,0.37
CELL,43.7689,-79.3419,217,0.4
PCS,43.7689,-79.3217,204,0.37
PCS,43.7689,-79.3217,205,0.38
CELL,43.7689,-79.3217,207,0.38
CELL,43.7692,-79.4621,218,0.4
MBS,43.7694,-79.3831,229.8,0.42
MBS,43.7694,-79.3625,173.1,0.32
RAC,43.7694,-79.2939,179,0.33
PCS,43.7695,-79.2848,206,0.38
CELL,43.7695,-79.2848,208,0.38
PCS,43.7696,-79.3331,123,0.23
MBS,43.7696,-79.3028,174,0.32
MBS,43.7696,-79.3028,176,0.32
BRS,43.7696,-79.3028,178,0.33
CELL,43.7696,-79.3028,180,0.33
CELL,43.7697,-79.3831,105,0.19
PCS,43.7697,-79.333,124,0.23
PCS,43.7697,-79.3319,173,0.32
PCS,43.7697,-79.3305,123,0.23
RAC,43.7697,-79.2939,179,0.33
BWA24,43.77,-79.29,171,0.31
CELL,43.7703,-79.2644,194,0.36
BRS,43.7703,-79.2644,199,0.37
PCS,43.7703,-79.2644,308,0.57
MBS,43.7706,-79.2606,202,0.37
MBS,43.7708,-79.4492,225.5,0.41
BWA24,43.7711,-79.3236,181,0.33
CELL,43.7714,-79.5014,228,0.42
PCS,43.7714,-79.5014,229,0.42
BRS,43.7714,-79.5014,230,0.42
MBS,43.7717,-79.3375,215.1,0.39
MBS,43.7719,-79.4142,236.8,0.43
MBS,43.7722,-79.2992,195,0.36
MBS,43.7725,-79.5086,230.5,0.42
MBS,43.7725,-79.5039,237.2,0.44
PCS,43.7725,-79.4519,249,0.46
PCS,43.7725,-79.4519,250,0.46
BWA24,43.7725,-79.3289,248,0.46
WBS,43.7725,-79.3278,253,0.46
AWS,43.7726,-79.3289,116,0.21
MBS,43.7728,-79.4994,214.2,0.39
CELL,43.7728,-79.4431,212,0.39
PCS,43.7728,-79.4431,213,0.39
MBS,43.7728,-79.3311,207.6,0.38
CELL,43.7733,-79.5044,233,0.43
MBS,43.7733,-79.4422,201.6,0.37
BWA24,43.7733,-79.3675,179,0.33
AWS,43.7733,-79.3419,226,0.41
PCS,43.7734,-79.2595,3,0.01
BWA24,43.7736,-79.3358,10,0.02
MBS,43.7736,-79.2542,207.5,0.38
FCFS38,43.7738,-79.2543,205,0.38
CELL,43.774,-79.2543,203,0.37
BRS,43.774,-79.2543,205,0.38
BRS,43.774,-79.2543,291,0.53
MBS,43.7742,-79.4756,245.8,0.45
AWS,43.7742,-79.25,242,0.44
BRS,43.775,-79.3111,194,0.36
AWS,43.7753,-79.5028,230,0.42
MBS,43.7753,-79.2444,190,0.35
AWS,43.7756,-79.4153,227,0.42
CELL,43.7756,-79.2447,183,0.34
PCS,43.7756,-79.2447,189,0.35
MBS,43.7758,-79.415,219,0.4
CELL,43.7758,-79.415,225,0.41
BRS,43.7758,-79.415,226,0.41
PCS,43.7758,-79.415,228,0.42
FWA,43.7759,-79.4151,230,0.42
MBS,43.7761,-79.4919,220.7,0.4
AWS,43.7761,-79.4919,227,0.42
AWS,43.7761,-79.4431,216,0.4
MBS,43.7761,-79.3483,224.3,0.41
MBS,43.7761,-79.3211,235,0.43
CELL,43.7761,-79.2578,171,0.31
AWS,43.7761,-79.2578,183,0.34
BWA24,43.7764,-79.4756,207,0.38
AWS,43.7764,-79.2747,196,0.36